,P1eff,P2eff,P3eff,P4eff,P5eff,SSP1,SSP2,SSP3,SSP4,SSP5,cc,tri,elev,For_Evergr,cell_id
98,36,36,16,0,0,P1,P2,P3,P4,P5,33.42560771,2.234072836,1400.236655,0.4,88
99,36,36,6,0,0,P1,P2,P3,P4,P5,30.18297783,1.804739743,1444.77425,0.421,88
100,36,34,0,0,0,P1,P2,P3,P4,P5,50.95044951,1.94582505,1602.734403,0.88,89
101,36,36,17,0,0,P1,P2,P3,P4,P5,27.50251046,3.185258605,1650.745133,0.392,92
102,36,18,0,0,0,P1,P2,P3,P4,P5,33.76019235,2.608713282,1619.39115,0.362,92
103,36,36,36,36,2,P1,P2,P3,P4,P5,50.56057753,0.763640029,1779.440708,0.994,93
104,36,36,36,36,17,P1,P2,P3,P4,P5,52.4188624,1.247737861,1792.697345,0.953,93
105,36,28,1,0,0,P1,P2,P3,P4,P5,63.93530151,2.575239646,1185.109123,0.913,96
106,36,36,36,36,25,P1,P2,P3,P4,P5,36.79610634,1.913019989,2003.939609,0.701,97
107,36,36,36,36,28,P1,P2,P3,P4,P5,31.5235208,1.863407167,1992.163732,0.477,97
108,32,36,36,36,36,P1,P2,P3,P4,P5,5.854902781,0.489957953,1422.284452,0,99
109,32,36,36,36,36,P1,P2,P3,P4,P5,4.241444073,0.570294328,1432.186949,0,99
110,32,36,36,36,36,P1,P2,P3,P4,P5,65.37628326,0.883846981,1666.221239,0.983,100
111,32,36,36,36,36,P1,P2,P3,P4,P5,67.76390632,0.657184423,1673.106195,0.92,100
112,26,36,36,36,36,P1,P2,P3,P4,P5,43.83964831,1.10659853,1967.194296,0.994,101
113,26,36,36,36,36,P1,P2,P3,P4,P5,44.97801968,0.934687108,1854.540493,0.964,101
114,36,36,36,30,0,P1,P2,P3,P4,P5,49.7797781,1.118612157,1620.76773,0.966,102
115,36,36,36,32,0,P1,P2,P3,P4,P5,53.06251307,1.341447015,1730.413669,0.958,102
116,9,0,0,0,0,P1,P2,P3,P4,P5,42.69662686,0.242732819,1758.743316,1,103
117,36,36,36,36,21,P1,P2,P3,P4,P5,42.31282695,0.194509241,1745.053476,0.977,103
118,21,36,36,36,36,P1,P2,P3,P4,P5,41.17274633,0.611755711,1886.708703,0.996,104
119,21,36,36,36,36,P1,P2,P3,P4,P5,39.4317374,0.691555815,1897.991103,0.972,104
120,36,36,36,36,11,P1,P2,P3,P4,P5,33.9473134,1.046945294,1826.309609,0.896,107
121,36,36,36,36,12,P1,P2,P3,P4,P5,51.96754606,1.445564153,1805.641441,0.934,107
122,36,36,36,36,16,P1,P2,P3,P4,P5,54.95641241,1.871670866,1722.55694,0.998,108
123,36,36,36,36,28,P1,P2,P3,P4,P5,52.672533,1.963874393,1721.971581,0.911,108
124,36,36,36,17,0,P1,P2,P3,P4,P5,49.25649623,1.299545291,1447.075269,0.864,111
125,36,36,36,8,0,P1,P2,P3,P4,P5,43.77882402,1.033945615,1428.463327,0.838,111
126,36,36,36,36,28,P1,P2,P3,P4,P5,46.78670013,3.187556316,1333.623214,0.431,113
127,36,36,36,36,24,P1,P2,P3,P4,P5,39.94142259,3.725806452,1376.69395,0.073,113
128,36,36,36,36,30,P1,P2,P3,P4,P5,38.33256496,0.833912769,1780.297153,1,114
129,36,36,36,36,33,P1,P2,P3,P4,P5,48.60828625,0.718868521,1782.985765,0.964,114
130,36,36,36,36,36,P1,P2,P3,P4,P5,67.12217573,1.931935163,1457.215548,1,115
131,36,36,36,36,36,P1,P2,P3,P4,P5,64.7123431,1.467965505,1505.962832,1,115
132,36,36,9,0,0,P1,P2,P3,P4,P5,64.9236721,3.039693656,1665.050179,1,117
133,36,36,0,0,0,P1,P2,P3,P4,P5,64.19025716,1.450591903,1665.964664,1,117
