,P1,P2,P3,P4,P5
504,1,1,0,0,NA
505,0,0,0,0,NA
506,1,1,1,1,NA
507,1,1,1,1,NA
508,0,0,0,0,NA
509,0,0,0,0,NA
510,0,1,1,1,1
511,1,1,1,1,1
512,1,1,0,1,0
513,0,0,0,0,0
514,0,0,0,0,0
515,1,1,1,1,0
516,1,0,0,0,NA
517,1,1,1,0,NA
518,0,0,0,0,NA
519,0,0,0,0,NA
520,0,0,0,0,0
521,0,0,0,0,0
522,0,0,0,0,NA
523,1,1,0,0,NA
524,0,0,0,0,NA
525,0,0,0,0,0
526,0,1,1,0,0
527,1,1,1,0,0
528,1,1,1,0,0
529,1,1,1,1,1
530,0,0,0,0,0
531,0,0,0,0,NA
532,0,0,0,0,NA
533,0,0,0,0,NA
534,1,0,1,0,NA
535,0,0,0,0,NA
536,0,0,0,0,NA
537,1,1,1,0,0
538,1,1,1,1,1
539,0,0,0,0,NA
540,0,0,0,0,NA
541,1,1,NA,NA,NA
542,1,1,1,1,0
543,1,1,1,1,1
544,0,1,1,0,0
545,0,0,0,0,NA
546,0,0,0,0,NA
547,0,0,0,0,0
548,1,0,0,1,0
549,0,0,0,0,NA
550,0,0,0,0,NA
551,0,0,0,NA,NA
552,1,0,1,NA,NA
553,0,0,0,0,0
554,1,0,0,0,0
555,1,0,1,0,0
556,0,0,0,0,0
557,1,1,1,1,1
558,1,1,0,1,1
559,0,0,0,NA,NA
560,0,0,0,NA,NA
561,0,0,0,0,NA
562,1,1,0,1,NA
563,0,0,0,0,NA
564,1,0,0,0,NA
565,1,1,1,0,NA
566,1,1,0,0,NA
567,1,0,0,0,1
568,1,0,1,1,0
569,1,1,1,0,1
570,1,1,1,0,0
571,1,1,1,1,1
572,0,0,0,NA,NA
573,0,0,0,NA,NA
574,0,0,0,NA,NA
575,0,0,0,NA,NA
576,0,0,0,NA,NA
577,0,0,0,NA,NA
578,1,1,1,1,NA
579,1,1,1,0,0
580,1,1,1,1,0
581,1,1,1,1,0
582,0,1,1,0,0
583,0,0,0,NA,NA
584,0,0,0,NA,NA
585,0,0,0,NA,NA
586,0,0,0,NA,NA
587,0,0,0,0,NA
588,0,0,0,0,NA
589,0,0,0,NA,NA
590,0,0,0,NA,NA
591,0,0,0,0,NA
592,0,0,0,0,NA
593,0,0,0,0,NA
594,1,1,0,0,NA
595,1,1,1,1,0
596,1,1,0,0,0
597,0,0,0,NA,NA
598,0,0,0,NA,NA
599,0,0,0,NA,NA
600,0,0,0,0,NA
601,0,0,0,0,NA
602,0,0,0,0,NA
603,1,1,1,0,NA
604,0,0,0,0,NA
605,0,0,0,0,NA
606,1,0,0,0,0
607,1,1,1,1,0
608,0,0,0,NA,NA
609,0,0,0,NA,NA
610,0,0,0,0,NA
611,0,0,0,0,NA
612,0,0,0,0,NA
613,0,0,0,0,NA
614,0,0,0,0,NA
615,0,0,0,0,NA
616,0,0,0,0,NA
617,0,0,0,0,NA
618,0,0,0,0,NA
619,0,0,0,0,NA
620,1,1,1,0,0
621,1,0,1,0,0
622,0,0,0,0,NA
623,0,0,0,0,NA
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,NA
627,0,0,0,0,NA
628,0,0,0,0,NA
629,0,0,0,0,NA
