"","ID","Shrub","Grassland","For_Evergr","For_DecidMixed","cell_id","cc_cfo_mn","cbh_cfo_mn","fire1yr_high_prop","fire2_5yr_high_prop","fire6_10yr_high_prop","fire11_35yr_high_prop","fire1yr_lowmod_prop","fire2_5yr_lowmod_prop","fire6_10yr_lowmod_prop","fire11_35yr_lowmod_prop","Latitude","elev.resid","NaiveOcc"
"1086","C4736_U2",0.665,0,0.335,0,4736,23.5507428332287,1.91525423728814,0,0,0.139880952380952,0.282738095238095,0,0,0.84672619047619,0.688988095238095,37.90497237,-248.489608609223,"Occupied"
"1087","C4775_U1",0.154,0,0.846,0,4775,45.4817533557047,3.34249161073825,0,0,0,0.0725925925925926,0,0,0,0.524444444444444,37.88016463,531.297759019204,"Occupied"
"1088","C4775_U2",0.063,0,0.937,0,4775,43.2254553066778,4.14025539041239,0,0,0,0.0415430267062315,0,0,0,0.618694362017804,37.8865309,541.021872404065,"Occupied"
"1089","C4776_U1",0.015,0,0.985,0,4776,46.0772128060264,3.4105461393597,0,0,0,0.003003003003003,0,0,0,0.74024024024024,37.8890493,672.965242172393,"Unoccupied"
"1090","C4776_U2",0.026,0,0.966,0,4776,36.772289660946,3.70238593553788,0,0,0,0,0.357142857142857,0,0,0.166666666666667,37.88076447,715.370198441191,"Unoccupied"
"1091","C4791_U1",0.968,0,0.032,0,4791,24.741847826087,2.18603678929766,0,0,0.644776119402985,0.435820895522388,0,0,0.355223880597015,0.541791044776119,37.88125675,82.6516369119218,"Occupied"
"1092","C4791_U2",0.5,0,0.5,0,4791,37.4992688531439,3.1857113014414,0,0,0.217134416543575,0.197932053175775,0,0,0.776957163958641,0.72821270310192,37.87425949,137.053515747128,"Occupied"
"1093","C4796_U1",0.009,0,0.991,0,4796,43.4277661795407,3.16576200417537,0,0,0,0,0.0886262924667651,0,0,0,37.87726534,826.832957066584,"Occupied"
"1094","C4796_U2",0.16,0.002,0.838,0,4796,34.8253503451161,3.100815728927,0,0,0,0,0,0,0,0,37.8788199,948.564637459166,"Unoccupied"
"1095","C4833_U1",0.429,0.118,0.173,0,4833,14.5006273525721,0.82538686741949,0,0,0,0,0,0,0,0,37.84509962,1160.18722359133,"Unoccupied"
"1096","C4833_U2",0.563,0.076,0.291,0,4833,18.3246018440905,1.42602682313495,0,0,0,0,0,0,0,0,37.85265324,1166.18184794442,"Occupied"
"1097","C4839_U1",0.882,0,0.118,0,4839,28.7505749529584,1.52101191720677,0,0,0.541420118343195,0.00443786982248521,0,0,0.452662721893491,0.0813609467455621,37.85728824,-590.059031258561,"Unoccupied"
